Code,Name,Market,Marcap
184230,SGA솔루션즈,KOSDAQ,106793773200
007820,엠엑스로보틱스,KOSDAQ,106780932180
124560,태웅로직스,KOSDAQ,106675834305
299660,셀리드,KOSDAQ,106505746970
173130,오파스넷,KOSDAQ,106459219680
041930,동아화성,KOSDAQ,106334000000
265560,영화테크,KOSDAQ,106260389200
046210,HLB파나진,KOSDAQ,106173977090
357230,에이치피오,KOSDAQ,106124233320
33626K,두산퓨얼셀1우,KOSPI,106111748000
023450,동남합성,KOSPI,106050000000
046940,우원개발,KOSDAQ,105915691000
036630,세종텔레콤,KOSDAQ,105900000000
348150,고바이오랩,KOSDAQ,105832945050
461030,아이엠비디엑스,KOSDAQ,105358699950
159010,아스플로,KOSDAQ,105344438100
032560,황금에스티,KOSPI,105230000000
033130,디지틀조선,KOSDAQ,105036205610
005740,크라운해태홀딩스,KOSPI,104673796350
020710,시공테크,KOSDAQ,104449923700
060560,HC홈센타,KOSDAQ,104344686576
019540,일지테크,KOSDAQ,104324220000
105740,디케이락,KOSDAQ,104125573120
311690,CJ 바이오사이언스,KOSDAQ,104001077520
009300,삼아제약,KOSDAQ,103894700000
043610,KT지니뮤직,KOSDAQ,103794172268
290670,대보마그네틱,KOSDAQ,103642535400
205470,휴마시스,KOSDAQ,103629382209
049480,오픈베이스,KOSDAQ,103379640070
002700,신일전자,KOSPI,102969855870
006660,삼성공조,KOSPI,102960398380
228850,레이언스,KOSDAQ,102698376660
348350,위드텍,KOSDAQ,102679794000
352090,스톰테크,KOSDAQ,102654852360
054670,대한뉴팜,KOSDAQ,102637678000
066590,스모트로닉,KOSDAQ,102496533050
412350,레이저쎌,KOSDAQ,102316427070
083790,CG인바이츠,KOSDAQ,102269262060
033230,인성정보,KOSDAQ,102041067600
002720,국제약품,KOSPI,101884591080
039610,화성밸브,KOSDAQ,101605504000
120240,대정화금,KOSDAQ,101240705280
007980,TP,KOSPI,101063789250
006890,태경케미컬,KOSPI,101036000000
082850,우리바이오,KOSDAQ,101031965130
058630,엠게임,KOSDAQ,101005539240
119650,KC코트렐,KOSPI,100782913662
234300,에스트래픽,KOSDAQ,100668786000
035610,솔본,KOSDAQ,100633268960
058400,KNN,KOSDAQ,100514157480
299170,더블유에스아이,KOSDAQ,100457316960
000180,성창기업지주,KOSPI,100442304000
058860,KTis,KOSPI,100403770000
222040,코스맥스엔비티,KOSDAQ,100252080000
052860,아이앤씨,KOSDAQ,100210610940
056360,코위버,KOSDAQ,100025328000
105550,엣지파운드리,KOSDAQ,99998104127
038680,에스넷,KOSDAQ,99961462840
246720,아스타,KOSDAQ,99434491000
011150,CJ씨푸드,KOSPI,99168933480
012700,리드코프,KOSDAQ,99147514820
078935,GS우,KOSPI,99057843000
175140,휴먼테크놀로지,KOSDAQ,99028684410
004060,SG세계물산,KOSPI,98985805440
019550,SBI인베스트먼트,KOSDAQ,98860610750
010960,삼호개발,KOSPI,98530200000
048430,유라테크,KOSDAQ,98496000000
000105,유한양행우,KOSPI,97899926000
302550,리메드,KOSDAQ,97821129750
013870,지엠비코리아,KOSPI,97650073600
001260,남광토건,KOSPI,97637439960
004650,창해에탄올,KOSDAQ,97607198700
091440,한울소재과학,KOSDAQ,97461792565
137950,제이씨케미칼,KOSDAQ,97421686250
044340,위닉스,KOSDAQ,97410166250
066790,씨씨에스,KOSDAQ,97271994227
187420,HLB제넥스,KOSDAQ,97038598800
005750,대림바스,KOSPI,96865714400
060570,드림어스컴퍼니,KOSDAQ,96776654338
251630,브이원텍,KOSDAQ,96773318020
033320,제이씨현시스템,KOSDAQ,96719025920
212560,네오오토,KOSDAQ,96624131380
443250,레뷰코퍼레이션,KOSDAQ,96564379200
068240,다원시스,KOSDAQ,96553495610
093920,서원인텍,KOSDAQ,96534000000
007460,에이프로젠,KOSPI,96486373790
048910,대원미디어,KOSDAQ,96354726360
065440,이루온,KOSDAQ,96008070400
261780,차백신연구소,KOSDAQ,95810265760
003010,혜인,KOSPI,95726984910
453860,에이에스텍,KOSDAQ,95699681550
060590,씨티씨바이오,KOSDAQ,95635934100
241690,유니테크노,KOSDAQ,95558106930
084730,팅크웨어,KOSDAQ,95318857920
024830,세원물산,KOSDAQ,95023000000
463480,모티브링크,KOSDAQ,94786238700
040420,정상제이엘에스,KOSDAQ,94535638560
014440,영보화학,KOSPI,94500000000
096775,SK이노베이션우,KOSPI,94381005600
025550,한국선재,KOSDAQ,94274244780
360350,코셈,KOSDAQ,94053267400
088280,쏘닉스,KOSDAQ,93974240700
323350,다원넥스뷰,KOSDAQ,93806140120
273640,와이엠텍,KOSDAQ,93649640000
041910,폴라리스AI파마,KOSDAQ,93431120440
023000,삼원강재,KOSPI,93400000000
004440,삼일씨엔에스,KOSPI,93325171510
217190,제너셈,KOSDAQ,93260165490
347890,엠엑스온,KOSDAQ,93127989960
094840,슈프리마에이치큐,KOSDAQ,92967300000
071090,하이스틸,KOSPI,92880766600
214270,FSN,KOSDAQ,92825342875
014950,삼익제약,KOSDAQ,92791807170
263600,덕우전자,KOSDAQ,92714404200
007280,한국특강,KOSPI,92679485964
009200,무림페이퍼,KOSPI,92580714750
054040,한국컴퓨터,KOSDAQ,92570630400
067570,엔브이에이치코리아,KOSDAQ,92563150000
024840,KBI메탈,KOSDAQ,92509377350
104040,디에스엠,KOSDAQ,92506799940
068290,삼성출판사,KOSPI,92400000000
192250,케이사인,KOSDAQ,92367323750
101140,인바이오젠,KOSPI,92306345040
110790,크리스에프앤씨,KOSDAQ,92200827600
126880,제이엔케이글로벌,KOSDAQ,92123464910
396690,미래에셋글로벌리츠,KOSPI,91687751100
072020,중앙백신,KOSDAQ,91560090160
065510,휴비츠,KOSDAQ,91427469480
031820,아이티센씨티에스,KOSPI,91151753898
055490,테이팩스,KOSPI,91100315000
163280,에어레인,KOSDAQ,91004591820
016250,SGC E&C,KOSDAQ,90917597300
338100,NH프라임리츠,KOSPI,90874200000
102370,케이옥션,KOSDAQ,90809415350
109080,옵티시스,KOSDAQ,90795960000
004890,동일산업,KOSPI,90703041000
085310,엔케이,KOSPI,90554609656
000590,CS홀딩스,KOSPI,90049596000
039010,현대에이치티,KOSDAQ,89872500000
109070,주성코퍼레이션,KOSPI,89777391000
071670,에이테크솔루션,KOSDAQ,89600000000
451250,삐아,KOSDAQ,89476423750
024950,삼천리자전거,KOSDAQ,89463908980
170030,현대공업,KOSDAQ,89278800000
215790,이노인스트루먼트,KOSDAQ,89227175035
203690,아크솔루션스,KOSDAQ,89196141000
478560,블랙야크아이앤씨,KOSDAQ,88985376610
140070,서플러스글로벌,KOSDAQ,88956140000
391710,코닉오토메이션,KOSDAQ,88863679950
009180,한솔로지스틱스,KOSPI,88690848750
131760,파인텍,KOSDAQ,88600429320
002800,신신제약,KOSDAQ,88595720000
011320,유니크,KOSDAQ,88585386575
130580,나이스디앤비,KOSDAQ,88550000000
037440,희림,KOSDAQ,88546941000
019990,에너토크,KOSDAQ,88390157280
081150,티플랙스,KOSDAQ,88336983280
099220,SDN,KOSDAQ,88324316000
053280,예스24,KOSDAQ,88250000000
900250,크리스탈신소재,KOSDAQ,87818382452
027830,대성창투,KOSDAQ,87696000000
111380,동인기연,KOSPI,87630400000
128660,피제이메탈,KOSDAQ,87555892570
376930,노을,KOSDAQ,87554288361
227950,엔투텍,KOSDAQ,87478310829
002600,조흥,KOSPI,87300000000
452400,이닉스,KOSDAQ,87267137360
216050,인크로스,KOSDAQ,87077045160
263800,데이타솔루션,KOSDAQ,86968036800
214330,금호에이치티,KOSPI,86782510980
347000,센코,KOSDAQ,86775891570
214260,라파스,KOSDAQ,86458666470
032850,비트컴퓨터,KOSDAQ,86441123600
036090,위지트,KOSDAQ,86426367320
456570,아이엠지티,KONEX,86249162560
001560,제일연마,KOSPI,86032000000
217500,러셀,KOSDAQ,85892400000
036640,HRS,KOSDAQ,85699152000
207760,미스터블루,KOSDAQ,85572176490
950220,네오이뮨텍,KOSDAQ,85495586550
045660,에이텍,KOSDAQ,85491000000
262260,에이프로,KOSDAQ,85362096800
100220,비상교육,KOSPI,85258620960
424980,마이크로투나노,KOSDAQ,85232016000
014470,부방,KOSDAQ,85154104680
064800,포니링크,KOSDAQ,85119660468
052900,KX하이텍,KOSDAQ,84767103040
066980,한성크린텍,KOSDAQ,84758124000
222110,팬젠,KOSDAQ,84743557160
004720,팜젠사이언스,KOSPI,84634605210
212710,아이에스티이,KOSDAQ,84585976620
215360,우리산업,KOSDAQ,84472507750
142280,녹십자엠에스,KOSDAQ,84467382510
089850,유비벨록스,KOSDAQ,84404040270
006880,신송홀딩스,KOSPI,84103180380
189330,씨이랩,KOSDAQ,83971441800
049180,셀루메드,KOSDAQ,83948814126
296160,프로젠,KONEX,83947931340
012690,모나리자,KOSPI,83931030225
067370,선바이오,KOSDAQ,83891658400
183490,엔지켐생명과학,KOSDAQ,83793832650
094940,푸른기술,KOSDAQ,83781087720
459100,위츠,KOSDAQ,83759142000
136410,아셈스,KOSDAQ,83745205600
000850,화천기공,KOSPI,83600000000
307870,비투엔,KOSDAQ,83449879911
041460,한국전자인증,KOSDAQ,83410000000
475430,키스트론,KOSDAQ,83350673700
340360,다보링크,KOSDAQ,83300435200
168330,내츄럴엔도텍,KOSDAQ,83197838000
378800,샤페론,KOSDAQ,83191212769
208140,정다운,KOSDAQ,83181406070
123420,위메이드플레이,KOSDAQ,83046868580
111710,남화산업,KOSDAQ,82866700000
023810,인팩,KOSPI,82800000000
007590,동방아그로,KOSPI,82522516620
104620,노랑풍선,KOSDAQ,82371704800
261520,이지스,KOSDAQ,82222400000
013700,까뮤이앤씨,KOSPI,82217142080
204840,지엘팜텍,KOSDAQ,82201946360
054930,유신,KOSDAQ,82200000000
011390,부산산업,KOSPI,82156800000
017650,대림제지,KOSDAQ,82139750000
241790,티이엠씨씨엔에스,KOSDAQ,82021598800
435570,에르코스,KOSDAQ,81882567250
010040,한국내화,KOSPI,81805587504
175250,아이큐어,KOSDAQ,81501658560
032540,TJ미디어,KOSDAQ,81499910700
0010F0,보원케미칼,KOSDAQ,81459723310
408900,스튜디오미르,KOSDAQ,81391028565
120115,코오롱인더우,KOSPI,81375084000
000725,현대건설우,KOSPI,81211361000
412540,제일엠앤에스,KOSDAQ,81063616775
134580,탑코미디어,KOSDAQ,81039580956
317690,퀀타매트릭스,KOSDAQ,80942816580
294140,레몬,KOSDAQ,80917492980
127980,화인써키트,KOSDAQ,80871871720
171120,라이온켐텍,KOSDAQ,80778960000
458350,에스팀,KOSDAQ,80666928000
317850,대모,KOSDAQ,80497141400
290660,네오펙트,KOSDAQ,80350366224
042940,상지건설,KOSDAQ,80305653120
053450,세코닉스,KOSDAQ,80176992260
321820,아티스트컴퍼니,KOSDAQ,80139672640
018500,동원금속,KOSPI,79904180497
417790,트루엔,KOSDAQ,79769139420
053050,지에스이,KOSDAQ,79767008020
001470,삼부토건,KOSPI,79699592928
